id;code;date;details;status;payment_method;payment_date;payment_amount
1;questioningly;2025-11-29T17:56:40;svelte;PAID;PAYPAL;2025-11-30T09:50:55;26358.75
2;or primary gift;2025-11-29T21:21:43;crocodile bitterly;PAID;PAYPAL;2025-11-30T09:25:52;22723.65
3;boohoo stratify;2025-11-30T15:59:23;fray consequently gazebo;CANCELLED;CREDIT_CARD;2025-11-29T22:42:50;9656.28
4;yellowish afterwards;2025-11-30T13:52:07;arid upward likewise;PAID;CREDIT_CARD;2025-11-30T13:05:02;22272.48
5;closely;2025-11-29T20:50:22;brown notwithstanding;ISSUED;PAYPAL;2025-11-30T12:57:46;10188.42
6;grade apud symbolise;2025-11-30T03:32:46;gee intently;ISSUED;CREDIT_CARD;2025-11-29T18:10:06;19444.46
7;quintessential;2025-11-30T15:39:56;broadcast whoever conversation;ISSUED;CREDIT_CARD;2025-11-30T03:54:15;11997.53
8;pro stealthily kiddingly;2025-11-30T10:52:03;after kooky;CANCELLED;CREDIT_CARD;2025-11-30T03:05:56;12772.11
9;so lest;2025-11-30T00:17:08;gosh;CANCELLED;CREDIT_CARD;2025-11-29T17:59:27;29193.15
10;ah crushing;2025-11-30T02:31:57;scornful version;CANCELLED;PAYPAL;2025-11-29T17:12:18;28858.22
