id;tracking_code;date;details;invoice_id
1;versus;2025-11-29T22:21:02;chubby;1
2;floodlight bleak yearn;2025-11-30T04:34:05;despite;2
3;peter;2025-11-29T19:56:48;stay definite excluding;3
4;oof;2025-11-30T07:35:49;separate furthermore numb;4
5;gloom vast fellow;2025-11-30T01:16:40;drat;5
6;quirkily;2025-11-29T17:56:10;bah phooey unto;6
7;jiggle mechanically;2025-11-30T16:57:42;siege yawningly;7
8;fervently extent blah;2025-11-29T18:01:12;uh-huh;8
9;yet inculcate meanwhile;2025-11-29T17:10:26;overconfidently helpfully;9
10;suspension;2025-11-30T06:41:15;pure ack;10
