id;placed_date;status;code;invoice_id;customer_id
1;2025-11-30T00:00:47;COMPLETED;aftermath;4569;1
2;2025-11-30T08:53:38;CANCELLED;given astride finally;613;2
3;2025-11-30T16:38:48;CANCELLED;boohoo draft;28077;1
4;2025-11-30T05:38:26;COMPLETED;as;14050;1
5;2025-11-30T14:32:08;CANCELLED;where;11965;2
6;2025-11-29T19:22:28;COMPLETED;readily er;10127;2
7;2025-11-29T17:48:12;PENDING;whether;9817;2
8;2025-11-29T18:47:28;PENDING;eyeliner;23649;1
9;2025-11-29T22:09:09;COMPLETED;hungrily than;5035;2
10;2025-11-30T10:54:41;COMPLETED;petal lotion treasure;24575;1
